id,crime_type,zone_id,latitude,longitude,date_time,area_name
6649,Theft,3,19.11823,72.867778,2025-01-27T01:03:56,Traffic Signal
6246,Accident,10,19.043991,72.891358,2025-01-27T02:15:06,Residential Lane
9280,Accident,10,19.044433,72.887856,2025-01-27T02:23:31,Public Park Corner
8799,Theft,3,19.114475,72.873301,2025-01-27T02:39:21,Construction Site Boundary
8874,Theft,4,19.018127,72.846302,2025-01-27T05:55:35,Railway Station Exit
5641,Theft,4,19.019932,72.847613,2025-01-27T07:02:14,Shopping Mall Parking
7822,Theft,3,19.112359,72.867984,2025-01-27T07:30:52,Residential Lane
7795,Theft,10,19.042115,72.886563,2025-01-27T14:19:09,Main Market Street
9032,Theft,10,19.046561,72.890879,2025-01-27T15:31:37,Public Park Corner
6884,Theft,1,18.919616,72.83176,2025-01-27T15:47:58,Construction Site Boundary
9080,Assault,2,19.06032,72.832577,2025-01-27T17:37:50,Traffic Signal
6677,Accident,1,18.926893,72.836553,2025-01-27T18:49:24,Back Alley
6441,Assault,5,19.070445,72.878893,2025-01-27T19:13:10,Main Market Street
7984,Theft,10,19.043957,72.891897,2025-01-27T19:34:11,Main Market Street
5858,Accident,6,19.098441,72.930198,2025-01-27T19:39:02,Railway Station Exit
5662,Assault,9,19.119937,72.909336,2025-01-28T02:31:30,Railway Station Exit
5126,Accident,6,19.099945,72.931953,2025-01-28T03:26:44,Residential Lane
8668,Assault,5,19.072698,72.8768,2025-01-28T04:06:27,Traffic Signal
7179,Theft,2,19.059627,72.829625,2025-01-28T04:35:34,Main Market Street
7036,Accident,6,19.096329,72.931886,2025-01-28T05:26:03,Public Park Corner
6134,Theft,7,19.228399,72.860352,2025-01-28T06:21:11,Main Market Street
7809,Theft,4,19.019383,72.849095,2025-01-28T10:35:15,Bus Stop Queue
5086,Theft,11,19.184426,72.836524,2025-01-28T12:25:21,Shopping Mall Parking
5751,Theft,2,19.066764,72.829961,2025-01-28T12:36:22,Bus Stop Queue
9122,Accident,10,19.046415,72.890933,2025-01-28T12:45:12,Traffic Signal
6496,Assault,5,19.073979,72.877483,2025-01-28T13:58:24,Highway Slip Road
8590,Accident,6,19.098266,72.930184,2025-01-28T17:12:36,Bus Stop Queue
9550,Theft,8,19.0986,72.821861,2025-01-28T21:56:07,Public Park Corner
5164,Accident,9,19.115075,72.902904,2025-01-28T23:46:02,Shopping Mall Parking
7812,Assault,10,19.043182,72.889434,2025-01-29T03:58:35,Highway Slip Road
7170,Theft,4,19.015936,72.847933,2025-01-29T07:02:54,Main Market Street
6048,Assault,5,19.073799,72.880789,2025-01-29T09:24:36,Highway Slip Road
5901,Theft,4,19.01956,72.849484,2025-01-29T11:07:00,Public Park Corner
5429,Accident,6,19.09892,72.935867,2025-01-29T11:44:58,Residential Lane
9661,Theft,12,18.99098,72.828879,2025-01-29T13:08:59,Construction Site Boundary
8844,Theft,4,19.016376,72.852562,2025-01-29T14:05:58,Public Park Corner
7781,Theft,3,19.111093,72.874122,2025-01-29T15:54:53,Public Park Corner
7312,Theft,3,19.112304,72.86592,2025-01-29T16:07:15,Main Market Street
9693,Accident,10,19.045897,72.888365,2025-01-29T17:28:33,Highway Slip Road
8576,Accident,3,19.115774,72.866946,2025-01-29T18:41:01,Shopping Mall Parking
6714,Accident,6,19.098915,72.93257,2025-01-29T22:08:09,Public Park Corner
9841,Theft,8,19.09706,72.828311,2025-01-29T22:13:43,Back Alley
5412,Assault,2,19.060353,72.828783,2025-01-29T23:52:23,Public Park Corner
6832,Theft,2,19.0628,72.83028,2025-01-30T00:18:02,Residential Lane
9989,Theft,8,19.09928,72.829402,2025-01-30T04:46:29,Residential Lane
9938,Theft,9,19.117436,72.90701,2025-01-30T06:01:06,Construction Site Boundary
6242,Theft,12,18.9912,72.831238,2025-01-30T07:10:48,Main Market Street
6404,Theft,11,19.184293,72.837707,2025-01-30T13:53:46,Railway Station Exit
7829,Theft,5,19.073084,72.877161,2025-01-30T14:36:16,Main Market Street
8075,Theft,8,19.102769,72.826548,2025-01-30T20:55:53,Highway Slip Road
5714,Theft,5,19.072572,72.876175,2025-01-30T21:56:20,Railway Station Exit
8240,Theft,5,19.073118,72.877969,2025-01-30T23:50:44,Main Market Street
9977,Accident,11,19.184469,72.832926,2025-01-30T23:57:32,Public Park Corner
7146,Theft,8,19.093311,72.82556,2025-01-31T02:59:09,Public Park Corner
8255,Theft,1,18.922314,72.837067,2025-01-31T03:49:32,Main Market Street
8689,Assault,3,19.111619,72.871384,2025-01-31T05:00:49,Bus Stop Queue
6127,Theft,12,18.994614,72.831053,2025-01-31T05:46:48,Residential Lane
9664,Assault,5,19.071821,72.877393,2025-01-31T07:32:50,Shopping Mall Parking
9037,Theft,5,19.074098,72.876836,2025-01-31T10:27:08,Highway Slip Road
8593,Theft,5,19.074056,72.881793,2025-01-31T10:49:19,Residential Lane
6207,Theft,3,19.114123,72.868952,2025-01-31T11:21:25,Railway Station Exit
8547,Accident,6,19.09718,72.931911,2025-01-31T11:28:12,Shopping Mall Parking
5014,Accident,12,18.992661,72.83192,2025-01-31T12:06:02,Shopping Mall Parking
5627,Assault,10,19.045353,72.891628,2025-01-31T13:21:16,Main Market Street
9972,Theft,8,19.096917,72.822056,2025-01-31T17:14:49,Railway Station Exit
